
    <!-- #eeNCLUDE FILE="bsppcaxishead1.asp" -->
"Motor Vehicle Loans - PBS"

" ","2008"," "," "," ","2009"," "," "," ","2010"," "," "," ","2011"," "," "," ","2012"," "," "," ","2013"," "," "," ","2014"," "," "," ","2015"," "," "," ","2016"," "," "," ","2017"," "," "," "
" ","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December","March","June","September","December"
"A.7.b.1.1 Motor Vehicle Loans (MVL)",76.580,79.084,77.171,78.618,81.752,86.220,90.627,94.646,99.799,105.797,112.732,117.794,124.398,128.383,132.953,139.374,145.078,150.576,155.072,160.114,167.419,176.293,181.180,186.396,194.444,207.127,218.323,231.075,244.697,259.453,283.663,304.016,323.238,346.830,364.386,388.485,408.892,..,..,..
"A.7.b.1.1.1  Performing",72.319,75.042,73.241,74.794,77.505,81.800,85.947,89.713,94.766,100.728,107.660,112.348,118.924,122.734,127.106,133.386,138.847,144.017,148.040,152.692,159.799,168.302,172.942,178.622,186.125,198.303,208.789,221.105,233.133,248.099,270.076,290.043,307.800,330.279,348.567,372.361,391.997,..,..,..
"A.7.b.1.1.2  Non-Performing",4.261,4.041,3.931,3.824,4.246,4.420,4.681,4.933,5.033,5.070,5.072,5.446,5.474,5.649,5.847,5.988,6.231,6.559,7.031,7.422,7.620,7.991,8.238,7.774,8.318,8.824,9.534,9.970,11.565,11.353,13.587,13.973,15.438,16.551,15.819,16.124,16.895,..,..,..
"A.7.b.1.2 Total Loan Portfolio (TLP), net of Interbank Loans (IBL)",2146.995,2325.543,2393.944,2607.439,2566.623,2588.382,2522.134,2757.030,2576.035,2740.582,2781.972,2992.447,2970.752,3255.004,3265.967,3523.541,3497.926,3701.392,3740.146,3993.520,3987.234,4145.905,4364.524,4638.531,4750.911,4943.443,5186.304,5549.068,5490.397,5660.555,5831.333,6276.583,6299.119,6584.021,6799.418,7375.750,7439.263,..,..,..
"A.7.b.1.3 Total Non-Performing Loans (NPL)",133.384,133.725,135.493,132.353,137.017,136.452,135.601,130.794,136.738,140.146,138.845,136.157,134.856,132.962,135.284,132.032,137.354,130.960,133.974,131.679,131.689,135.285,136.656,121.181,123.663,125.171,128.070,124.357,128.113,127.787,129.481,126.265,136.295,139.514,140.433,136.000,144.012,..,..,..
"A.7.b.1.4  MVL to TLP (%)",3.567,3.401,3.224,3.015,3.185,3.331,3.593,3.433,3.874,3.860,4.052,3.936,4.187,3.944,4.071,3.956,4.148,4.068,4.146,4.009,4.199,4.252,4.151,4.018,4.093,4.190,4.210,4.164,4.457,4.584,4.864,4.844,5.131,5.301,5.359,5.267,5.496,..,..,..
"A.7.b.1.5  Non-Performing MVL to Total NPL (%)",3.194,3.022,2.901,2.890,3.099,3.240,3.452,3.772,3.681,3.617,3.653,4.000,4.059,4.249,4.322,4.535,4.537,5.009,5.248,5.637,5.786,5.907,6.028,6.416,6.727,7.049,7.445,8.017,9.027,8.885,10.494,11.067,11.327,11.863,11.264,11.856,11.732,..,..,..
"A.7.b.1.6  Non-Performing MVL to TLP (%)",0.198,0.174,0.164,0.147,0.165,0.171,0.186,0.179,0.195,0.185,0.182,0.182,0.184,0.174,0.179,0.170,0.178,0.177,0.188,0.186,0.191,0.193,0.189,0.168,0.175,0.178,0.184,0.180,0.211,0.201,0.233,0.223,0.245,0.251,0.233,0.219,0.227,..,..,..
"A.7.b.1.7  Non-Performing MVL to MVL (%)",5.564,5.110,5.094,4.864,5.194,5.127,5.165,5.212,5.043,4.792,4.499,4.624,4.400,4.400,4.398,4.297,4.295,4.356,4.534,4.636,4.551,4.533,4.547,4.171,4.278,4.260,4.367,4.315,4.726,4.376,4.790,4.596,4.776,4.742,4.341,4.150,4.132,..,..,..
